,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6M-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6M-3M,,,,,,,,,,,1.000000,0.943268,0.952626,0.950004,0.889545,0.865563,0.851577,,0.832732,0.676050,0.839946,0.844879,0.691767,0.596732,0.600603,,0.565873,0.819954,0.843312,0.559988,0.345251,0.400549,,0.359328,0.429584,-0.015489,-0.355403,-0.159779,,-0.171573,-0.232929,-0.545906,-0.332315,,-0.324601,-0.734049,-0.329750,,-0.307206,0.412107,,0.263799,,-0.124660,
1Y-3M,,,,,,,,,,,0.943268,1.000000,0.982730,0.982185,0.949274,0.931372,0.922146,,0.912754,0.882356,0.942436,0.944422,0.826702,0.747007,0.747844,,0.723283,0.776717,0.817559,0.609373,0.400621,0.468826,,0.446516,0.462990,0.112012,-0.241640,-0.034277,,-0.029026,-0.103273,-0.439798,-0.205379,,-0.180803,-0.729663,-0.262802,,-0.201107,0.493355,,0.399522,,0.010578,
2Y-3M,,,,,,,,,,,0.952626,0.982730,1.000000,0.995160,0.969524,0.954019,0.942456,,0.931833,0.830767,0.965204,0.959327,0.852025,0.775899,0.772287,,0.745385,0.879854,0.895179,0.691246,0.491178,0.543467,,0.515121,0.431792,0.128421,-0.225478,-0.022605,,-0.021166,-0.068807,-0.410289,-0.181170,,-0.162217,-0.725833,-0.264156,,-0.207458,0.487244,,0.387672,,-0.002728,
3Y-3M,,,,,,,,,,,0.950004,0.982185,0.995160,1.000000,0.976656,0.963195,0.954519,,0.943507,0.833274,0.958823,0.969673,0.865173,0.792675,0.792516,,0.764537,0.864780,0.911205,0.710203,0.515331,0.571903,,0.541537,0.518338,0.175665,-0.179554,0.027216,,0.023526,-0.057909,-0.396794,-0.157278,,-0.141669,-0.716111,-0.231965,,-0.183652,0.517630,,0.410170,,-0.006104,
5Y-3M,,,,,,,,,,,0.889545,0.949274,0.969524,0.976656,1.000000,0.994411,0.988936,,0.981940,0.845924,0.965063,0.977002,0.945257,0.890467,0.887222,,0.862527,0.862044,0.911819,0.827784,0.657849,0.704356,,0.676820,0.527169,0.367476,0.007180,0.202962,,0.195767,0.157891,-0.204153,0.034199,,0.042256,-0.676036,-0.160305,,-0.104562,0.564259,,0.477832,,0.051980,
7Y-3M,,,,,,,,,,,0.865563,0.931372,0.954019,0.963195,0.994411,1.000000,0.995439,,0.992292,0.840185,0.958018,0.972712,0.953554,0.918371,0.913885,,0.894111,0.855245,0.909814,0.845633,0.706703,0.748505,,0.727291,0.538546,0.403712,0.076917,0.266454,,0.264421,0.193797,-0.135453,0.100414,,0.113033,-0.594463,-0.079362,,-0.020713,0.575531,,0.513977,,0.103798,
10Y-3M,,,,,,,,,,,0.851577,0.922146,0.942456,0.954519,0.988936,0.995439,1.000000,,0.997167,0.839531,0.949411,0.968794,0.954890,0.922115,0.930606,,0.910798,0.839584,0.903453,0.848290,0.713155,0.774020,,0.752295,0.559536,0.425444,0.100556,0.312941,,0.307781,0.208236,-0.119047,0.144316,,0.153281,-0.584594,-0.012109,,0.033743,0.650920,,0.576702,,0.108611,
20Y-3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-3M,,,,,,,,,,,0.832732,0.912754,0.931833,0.943507,0.981940,0.992292,0.997167,,1.000000,0.845399,0.946660,0.964679,0.957292,0.931963,0.939442,,0.927723,0.827546,0.890297,0.847405,0.723486,0.782922,,0.773083,0.550909,0.437448,0.125661,0.334645,,0.343083,0.226338,-0.089207,0.171477,,0.194344,-0.553270,0.016199,,0.085483,0.651676,,0.616315,,0.183083,
1Y-6M,,,,,,,,,,,0.676050,0.882356,0.830767,0.833274,0.845924,0.840185,0.839531,,0.845399,1.000000,0.901044,0.898461,0.854215,0.812045,0.808416,,0.803132,0.561610,0.619143,0.558680,0.399755,0.472742,,0.481653,0.418641,0.270532,-0.032550,0.150383,,0.178750,0.100941,-0.202312,0.015200,,0.058807,-0.578937,-0.115870,,-0.010906,0.510798,,0.512755,,0.200154,
2Y-6M,,,,,,,,,,,0.839946,0.942436,0.965204,0.958823,0.965063,0.958018,0.949411,,0.946660,0.901044,1.000000,0.985273,0.925462,0.871344,0.861570,,0.843430,0.864902,0.872163,0.751892,0.579547,0.625299,,0.610163,0.401079,0.242455,-0.096740,0.097043,,0.109751,0.077500,-0.262699,-0.037533,,-0.010349,-0.663948,-0.187807,,-0.106027,0.515046,,0.464897,,0.102313,
3Y-6M,,,,,,,,,,,0.844879,0.944422,0.959327,0.969673,0.977002,0.972712,0.968794,,0.964679,0.898461,0.985273,1.000000,0.940810,0.890990,0.887688,,0.866936,0.839798,0.901055,0.778452,0.612666,0.666306,,0.646547,0.551805,0.313091,-0.029434,0.171697,,0.174606,0.083112,-0.252513,-0.009341,,0.011364,-0.652327,-0.139311,,-0.074182,0.564273,,0.496251,,0.087121,
5Y-6M,,,,,,,,,,,0.691767,0.826702,0.852025,0.865173,0.945257,0.953554,0.954890,,0.957292,0.854215,0.925462,0.940810,1.000000,0.981279,0.973385,,0.959158,0.776904,0.838896,0.908445,0.793222,0.827235,,0.813153,0.526423,0.591919,0.265213,0.434944,,0.431995,0.415954,0.067244,0.291429,,0.298655,-0.544251,-0.017846,,0.054161,0.597533,,0.566857,,0.171207,
7Y-6M,,,,,,,,,,,0.596732,0.747007,0.775899,0.792675,0.890467,0.918371,0.922115,,0.931963,0.812045,0.871344,0.890990,0.981279,1.000000,0.989752,,0.985511,0.722468,0.791446,0.912485,0.859555,0.882839,,0.881420,0.523475,0.659114,0.404077,0.553198,,0.559259,0.494579,0.214322,0.423482,,0.437607,-0.372491,0.133398,,0.209559,0.596547,,0.615107,,0.264821,
10Y-6M,,,,,,,,,,,0.600603,0.747844,0.772287,0.792516,0.887222,0.913885,0.930606,,0.939442,0.808416,0.861570,0.887688,0.973385,0.989752,1.000000,,0.994039,0.708021,0.789124,0.902811,0.846637,0.900857,,0.896503,0.553456,0.659696,0.401513,0.588853,,0.589217,0.480232,0.199588,0.452134,,0.460423,-0.379094,0.211767,,0.265960,0.705037,,0.695390,,0.252691,
20Y-6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-6M,,,,,,,,,,,0.565873,0.723283,0.745385,0.764537,0.862527,0.894111,0.910798,,0.927723,0.803132,0.843430,0.866936,0.959158,0.985511,0.994039,,1.000000,0.679531,0.757229,0.884364,0.844602,0.895830,,0.908969,0.530759,0.661856,0.426726,0.606046,,0.626562,0.494079,0.235192,0.479386,,0.508239,-0.329016,0.246430,,0.334404,0.692596,,0.739925,,0.356675,
2Y-1Y,,,,,,,,,,,0.819954,0.776717,0.879854,0.864780,0.862044,0.855245,0.839584,,0.827546,0.561610,0.864902,0.839798,0.776904,0.722468,0.708021,,0.679531,1.000000,0.947269,0.787807,0.642951,0.645765,,0.606578,0.280639,0.149441,-0.146877,0.011090,,0.002505,0.031027,-0.267010,-0.089191,,-0.087798,-0.596597,-0.224179,,-0.189641,0.391398,,0.293466,,-0.036453,
3Y-1Y,,,,,,,,,,,0.843312,0.817559,0.895179,0.911205,0.911819,0.909814,0.903453,,0.890297,0.619143,0.872163,0.901055,0.838896,0.791446,0.789124,,0.757229,0.947269,1.000000,0.840443,0.700911,0.724752,,0.680609,0.573402,0.292749,-0.020492,0.158542,,0.135722,0.048940,-0.251791,-0.031721,,-0.037766,-0.594848,-0.134709,,-0.121906,0.504667,,0.381071,,-0.041893,
5Y-1Y,,,,,,,,,,,0.559988,0.609373,0.691246,0.710203,0.827784,0.845633,0.848290,,0.847405,0.558680,0.751892,0.778452,0.908445,0.912485,0.902811,,0.884364,0.787807,0.840443,1.000000,0.943966,0.939543,,0.909916,0.503181,0.726736,0.449241,0.572926,,0.545413,0.582382,0.269922,0.452672,,0.429139,-0.402745,0.064688,,0.095166,0.542524,,0.492015,,0.112193,
7Y-1Y,,,,,,,,,,,0.345251,0.400621,0.491178,0.515331,0.657849,0.706703,0.713155,,0.723486,0.399755,0.579547,0.612666,0.793222,0.859555,0.846637,,0.844602,0.642951,0.700911,0.943966,1.000000,0.972658,,0.962626,0.455599,0.798337,0.663166,0.737192,,0.721871,0.688418,0.513785,0.651831,,0.635830,-0.078087,0.310986,,0.338693,0.489669,,0.517106,,0.240670,
10Y-1Y,,,,,,,,,,,0.400549,0.468826,0.543467,0.571903,0.704356,0.748505,0.774020,,0.782922,0.472742,0.625299,0.666306,0.827235,0.882839,0.900857,,0.895830,0.645765,0.724752,0.939543,0.972658,1.000000,,0.986909,0.519812,0.788097,0.625104,0.770651,,0.750274,0.644502,0.448010,0.665673,,0.645919,-0.140555,0.402490,,0.406208,0.678774,,0.662888,,0.230681,
20Y-1Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-1Y,,,,,,,,,,,0.359328,0.446516,0.515121,0.541537,0.676820,0.727291,0.752295,,0.773083,0.481653,0.610163,0.646547,0.813153,0.881420,0.896503,,0.908969,0.606578,0.680609,0.909916,0.962626,0.986909,,1.000000,0.487781,0.784238,0.650443,0.786213,,0.796541,0.656114,0.487494,0.694492,,0.706420,-0.078882,0.443544,,0.499504,0.661348,,0.729593,,0.384591,
3Y-2Y,,,,,,,,,,,0.429584,0.462990,0.431792,0.518338,0.527169,0.538546,0.559536,,0.550909,0.418641,0.401079,0.551805,0.526423,0.523475,0.553456,,0.530759,0.280639,0.573402,0.503181,0.455599,0.519812,,0.487781,1.000000,0.494794,0.314147,0.446529,,0.400126,0.067264,-0.071521,0.133022,,0.111355,-0.256419,0.169670,,0.119714,0.510937,,0.391112,,-0.032282,
5Y-2Y,,,,,,,,,,,-0.015489,0.112012,0.128421,0.175665,0.367476,0.403712,0.425444,,0.437448,0.270532,0.242455,0.313091,0.591919,0.659114,0.659696,,0.661856,0.149441,0.292749,0.726736,0.798337,0.788097,,0.784238,0.494794,1.000000,0.884997,0.907378,,0.872786,0.900324,0.731107,0.826169,,0.786837,0.018816,0.353866,,0.364276,0.434428,,0.462565,,0.220765,
7Y-2Y,,,,,,,,,,,-0.355403,-0.241640,-0.225478,-0.179554,0.007180,0.076917,0.100556,,0.125661,-0.032550,-0.096740,-0.029434,0.265213,0.404077,0.401513,,0.426726,-0.146877,-0.020492,0.449241,0.663166,0.625104,,0.650443,0.314147,0.884997,1.000000,0.941232,,0.929834,0.858758,0.924475,0.928987,,0.906962,0.482167,0.620707,,0.622740,0.249910,,0.381046,,0.346444,
10Y-2Y,,,,,,,,,,,-0.159779,-0.034277,-0.022605,0.027216,0.202962,0.266454,0.312941,,0.334645,0.150383,0.097043,0.171697,0.434944,0.553198,0.588853,,0.606046,0.011090,0.158542,0.572926,0.737192,0.770651,,0.786213,0.446529,0.907378,0.941232,1.000000,,0.980480,0.818154,0.809571,0.946216,,0.919183,0.313855,0.714210,,0.690253,0.562267,,0.623198,,0.332528,
20Y-2Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-2Y,,,,,,,,,,,-0.171573,-0.029026,-0.021166,0.023526,0.195767,0.264421,0.307781,,0.343083,0.178750,0.109751,0.174606,0.431995,0.559259,0.589217,,0.626562,0.002505,0.135722,0.545413,0.721871,0.750274,,0.796541,0.400126,0.872786,0.929834,0.980480,,1.000000,0.801678,0.816230,0.941372,,0.955316,0.354468,0.728377,,0.772500,0.534213,,0.694527,,0.511467,
5Y-3Y,,,,,,,,,,,-0.232929,-0.103273,-0.068807,-0.057909,0.157891,0.193797,0.208236,,0.226338,0.100941,0.077500,0.083112,0.415954,0.494579,0.480232,,0.494079,0.031027,0.048940,0.582382,0.688418,0.644502,,0.656114,0.067264,0.900324,0.858758,0.818154,,0.801678,1.000000,0.875224,0.881927,,0.847620,0.150024,0.321310,,0.358280,0.242889,,0.335205,,0.269634,
7Y-3Y,,,,,,,,,,,-0.545906,-0.439798,-0.410289,-0.396794,-0.204153,-0.135453,-0.119047,,-0.089207,-0.202312,-0.262699,-0.252513,0.067244,0.214322,0.199588,,0.235192,-0.267010,-0.251791,0.269922,0.513785,0.448010,,0.487494,-0.071521,0.731107,0.924475,0.809571,,0.816230,0.875224,1.000000,0.922602,,0.908162,0.609548,0.583998,,0.606194,0.057384,,0.243278,,0.376947,
10Y-3Y,,,,,,,,,,,-0.332315,-0.205379,-0.181170,-0.157278,0.034199,0.100414,0.144316,,0.171477,0.015200,-0.037533,-0.009341,0.291429,0.423482,0.452134,,0.479386,-0.089191,-0.031721,0.452672,0.651831,0.665673,,0.694492,0.133022,0.826169,0.928987,0.946216,,0.941372,0.881927,0.922602,1.000000,,0.977891,0.440367,0.729762,,0.721289,0.438061,,0.548879,,0.380006,
20Y-3Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-3Y,,,,,,,,,,,-0.324601,-0.180803,-0.162217,-0.141669,0.042256,0.113033,0.153281,,0.194344,0.058807,-0.010349,0.011364,0.298655,0.437607,0.460423,,0.508239,-0.087798,-0.037766,0.429139,0.635830,0.645919,,0.706420,0.111355,0.786837,0.906962,0.919183,,0.955316,0.847620,0.908162,0.977891,,1.000000,0.467077,0.735106,,0.799064,0.414492,,0.626978,,0.565031,
7Y-5Y,,,,,,,,,,,-0.734049,-0.729663,-0.725833,-0.716111,-0.676036,-0.594463,-0.584594,,-0.553270,-0.578937,-0.663948,-0.652327,-0.544251,-0.372491,-0.379094,,-0.329016,-0.596597,-0.594848,-0.402745,-0.078087,-0.140555,,-0.078882,-0.256419,0.018816,0.482167,0.313855,,0.354468,0.150024,0.609548,0.440367,,0.467077,1.000000,0.667063,,0.651840,-0.280774,,-0.052115,,0.328557,
10Y-5Y,,,,,,,,,,,-0.329750,-0.262802,-0.264156,-0.231965,-0.160305,-0.079362,-0.012109,,0.016199,-0.115870,-0.187807,-0.139311,-0.017846,0.133398,0.211767,,0.246430,-0.224179,-0.134709,0.064688,0.310986,0.402490,,0.443544,0.169670,0.353866,0.620707,0.714210,,0.728377,0.321310,0.583998,0.729762,,0.735106,0.667063,1.000000,,0.929356,0.527738,,0.616468,,0.372320,
20Y-5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-5Y,,,,,,,,,,,-0.307206,-0.201107,-0.207458,-0.183652,-0.104562,-0.020713,0.033743,,0.085483,-0.010906,-0.106027,-0.074182,0.054161,0.209559,0.265960,,0.334404,-0.189641,-0.121906,0.095166,0.338693,0.406208,,0.499504,0.119714,0.364276,0.622740,0.690253,,0.772500,0.358280,0.606194,0.721289,,0.799064,0.651840,0.929356,,1.000000,0.454086,,0.723355,,0.688659,
10Y-7Y,,,,,,,,,,,0.412107,0.493355,0.487244,0.517630,0.564259,0.575531,0.650920,,0.651676,0.510798,0.515046,0.564273,0.597533,0.596547,0.705037,,0.692596,0.391398,0.504667,0.542524,0.489669,0.678774,,0.661348,0.510937,0.434428,0.249910,0.562267,,0.534213,0.242889,0.057384,0.438061,,0.414492,-0.280774,0.527738,,0.454086,1.000000,,0.853604,,0.105052,
20Y-7Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-7Y,,,,,,,,,,,0.263799,0.399522,0.387672,0.410170,0.477832,0.513977,0.576702,,0.616315,0.512755,0.464897,0.496251,0.566857,0.615107,0.695390,,0.739925,0.293466,0.381071,0.492015,0.517106,0.662888,,0.729593,0.391112,0.462565,0.381046,0.623198,,0.694527,0.335205,0.243278,0.548879,,0.626978,-0.052115,0.616468,,0.723355,0.853604,,1.000000,,0.607712,
20Y-10Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-10Y,,,,,,,,,,,-0.124660,0.010578,-0.002728,-0.006104,0.051980,0.103798,0.108611,,0.183083,0.200154,0.102313,0.087121,0.171207,0.264821,0.252691,,0.356675,-0.036453,-0.041893,0.112193,0.240670,0.230681,,0.384591,-0.032282,0.220765,0.346444,0.332528,,0.511467,0.269634,0.376947,0.380006,,0.565031,0.328557,0.372320,,0.688659,0.105052,,0.607712,,1.000000,
30Y-20Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
