,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.403931,0.271492,0.348210,0.369076,0.343682,0.345602,0.325105,0.363395,0.320786,0.062429,0.074612,0.217833,0.255820,0.190326,0.177007,0.137952,0.147621,0.070324,0.086304,0.296903,0.337313,0.259011,0.240130,0.154591,0.164792,0.035134,0.453694,0.465065,0.346361,0.291749,0.111987,0.095779,-0.029229,0.365832,-0.206426,-0.264866,-0.248479,-0.242267,-0.269311,-0.347431,-0.346567,-0.315363,-0.299536,-0.317894,-0.165906,-0.221172,-0.198673,-0.259429,-0.173386,-0.172472,-0.231707,-0.052038,-0.217957,-0.234792
6M-1M,0.403931,1.000000,0.978441,0.956702,0.955566,0.919642,0.904114,0.801700,0.800060,0.707353,0.938222,0.930303,0.937615,0.942208,0.893146,0.873350,0.757834,0.753158,0.636912,0.889984,0.885885,0.897654,0.755904,0.677953,0.377833,0.247120,-0.035751,0.784402,0.811548,0.355263,0.102154,-0.265648,-0.495380,-0.631607,0.652082,-0.650146,-0.851188,-0.825359,-0.907522,-0.888408,-0.825923,-0.879773,-0.866084,-0.911990,-0.911935,-0.556585,-0.767042,-0.832846,-0.872800,-0.613688,-0.797295,-0.780083,-0.491899,-0.709193,-0.514074
1Y-1M,0.271492,0.978441,1.000000,0.977804,0.966606,0.943493,0.934311,0.842871,0.843499,0.743849,0.964798,0.980015,0.978749,0.970653,0.940457,0.929586,0.827778,0.830817,0.710779,0.964971,0.933291,0.925605,0.812413,0.748820,0.460234,0.339815,0.038178,0.801747,0.806313,0.373137,0.132977,-0.228978,-0.463720,-0.621001,0.605858,-0.652461,-0.842085,-0.806948,-0.896085,-0.890174,-0.802818,-0.852824,-0.836557,-0.889381,-0.902034,-0.534234,-0.734601,-0.814786,-0.873971,-0.586951,-0.785504,-0.789158,-0.508258,-0.745266,-0.546931
2Y-1M,0.348210,0.956702,0.977804,1.000000,0.991865,0.973562,0.975962,0.907173,0.908534,0.811661,0.912061,0.941160,0.990757,0.987101,0.958929,0.959042,0.879584,0.881587,0.761674,0.943579,0.982556,0.974910,0.879427,0.839552,0.578618,0.467579,0.156569,0.909176,0.896236,0.507667,0.303497,-0.073733,-0.315272,-0.508326,0.639639,-0.638111,-0.805635,-0.754858,-0.860468,-0.866925,-0.810434,-0.842724,-0.806042,-0.870953,-0.890703,-0.486527,-0.661868,-0.774064,-0.849662,-0.525421,-0.757480,-0.778627,-0.544437,-0.779419,-0.562013
3Y-1M,0.369076,0.955566,0.966606,0.991865,1.000000,0.974693,0.967615,0.896221,0.893278,0.808261,0.902929,0.925245,0.979268,0.992890,0.956585,0.946417,0.863889,0.860421,0.752511,0.920298,0.970316,0.987676,0.882194,0.826188,0.562636,0.444123,0.152938,0.908225,0.930967,0.536232,0.307888,-0.073906,-0.319665,-0.495592,0.732284,-0.602412,-0.800188,-0.754284,-0.863060,-0.857140,-0.833999,-0.880361,-0.835439,-0.900106,-0.905265,-0.538773,-0.693465,-0.803475,-0.855785,-0.531402,-0.768205,-0.767295,-0.554098,-0.756884,-0.526085
5Y-1M,0.343682,0.919642,0.943493,0.973562,0.974693,1.000000,0.988672,0.952778,0.936352,0.876505,0.873340,0.906546,0.963887,0.969819,0.987332,0.973212,0.928265,0.912198,0.831177,0.914903,0.964098,0.968915,0.952292,0.893936,0.681280,0.551243,0.286632,0.901951,0.905484,0.659509,0.423404,0.068935,-0.205739,-0.381043,0.677380,-0.445369,-0.679651,-0.626424,-0.774506,-0.770364,-0.689547,-0.772506,-0.716129,-0.813667,-0.818358,-0.574930,-0.625987,-0.789584,-0.822115,-0.421385,-0.730606,-0.717170,-0.639387,-0.769283,-0.475661
7Y-1M,0.345602,0.904114,0.934311,0.975962,0.967615,0.988672,1.000000,0.961539,0.953817,0.866276,0.855673,0.896635,0.966108,0.962211,0.975165,0.984738,0.937052,0.930281,0.819891,0.914355,0.977844,0.966578,0.945475,0.927051,0.708267,0.595679,0.288255,0.927046,0.902229,0.648622,0.477535,0.100887,-0.159899,-0.379326,0.621802,-0.492959,-0.657158,-0.617973,-0.757932,-0.782835,-0.694577,-0.732121,-0.691504,-0.784241,-0.815203,-0.445610,-0.568680,-0.731572,-0.813156,-0.433288,-0.723498,-0.752129,-0.611754,-0.813876,-0.553353
10Y-1M,0.325105,0.801700,0.842871,0.907173,0.896221,0.952778,0.961539,1.000000,0.980954,0.946973,0.751691,0.806128,0.897454,0.890575,0.941105,0.948200,0.981485,0.963973,0.910363,0.842564,0.933640,0.914219,0.965224,0.950748,0.856328,0.746548,0.508426,0.912554,0.867721,0.755546,0.595979,0.330819,0.054489,-0.148136,0.558698,-0.344312,-0.523794,-0.408816,-0.589434,-0.606698,-0.551873,-0.611735,-0.504939,-0.631865,-0.650714,-0.441186,-0.359617,-0.597047,-0.651003,-0.169077,-0.549001,-0.572795,-0.677911,-0.751962,-0.423954
20Y-1M,0.363395,0.800060,0.843499,0.908534,0.893278,0.936352,0.953817,0.980954,1.000000,0.941870,0.735418,0.798865,0.893331,0.882609,0.917464,0.932999,0.953783,0.975073,0.894746,0.846034,0.936858,0.910689,0.939119,0.938902,0.828243,0.779024,0.502910,0.915190,0.860031,0.708135,0.572959,0.295265,0.084739,-0.155058,0.533637,-0.405015,-0.549495,-0.441458,-0.568889,-0.613175,-0.582878,-0.618301,-0.522807,-0.608208,-0.650014,-0.385312,-0.358055,-0.523903,-0.626507,-0.203860,-0.482718,-0.564894,-0.522207,-0.711107,-0.493010
30Y-1M,0.320786,0.707353,0.743849,0.811661,0.808261,0.876505,0.866276,0.946973,0.941870,1.000000,0.650390,0.704421,0.798638,0.799635,0.862098,0.849086,0.926823,0.923509,0.967366,0.743783,0.841693,0.832809,0.911396,0.869647,0.855705,0.782025,0.681120,0.836909,0.805777,0.766621,0.575179,0.408551,0.173713,0.061927,0.538510,-0.227030,-0.452411,-0.284313,-0.449092,-0.412498,-0.455162,-0.553371,-0.399484,-0.514418,-0.481530,-0.505559,-0.261422,-0.480303,-0.446520,-0.001237,-0.361085,-0.322330,-0.593015,-0.500277,-0.172045
