folder_name,as_of_date,raw_csv,imputed_csv,imputed_exists,needs_imputation,n_spreads,n_cells,n_missing
00001_1985-01-02,1985-01-02,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00001_1985-01-02\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00001_1985-01-02\imputed_correlation_matrix.csv,True,False,55,3025,3025
00002_1985-01-03,1985-01-03,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00002_1985-01-03\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00002_1985-01-03\imputed_correlation_matrix.csv,True,False,55,3025,3025
00003_1985-01-04,1985-01-04,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00003_1985-01-04\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00003_1985-01-04\imputed_correlation_matrix.csv,True,False,55,3025,3025
00004_1985-01-07,1985-01-07,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00004_1985-01-07\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00004_1985-01-07\imputed_correlation_matrix.csv,True,False,55,3025,3025
00005_1985-01-08,1985-01-08,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00005_1985-01-08\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00005_1985-01-08\imputed_correlation_matrix.csv,True,False,55,3025,3025
00006_1985-01-09,1985-01-09,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00006_1985-01-09\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00006_1985-01-09\imputed_correlation_matrix.csv,True,False,55,3025,3025
00007_1985-01-10,1985-01-10,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00007_1985-01-10\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00007_1985-01-10\imputed_correlation_matrix.csv,True,False,55,3025,3025
00008_1985-01-11,1985-01-11,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00008_1985-01-11\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00008_1985-01-11\imputed_correlation_matrix.csv,True,False,55,3025,3025
00009_1985-01-14,1985-01-14,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00009_1985-01-14\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00009_1985-01-14\imputed_correlation_matrix.csv,True,False,55,3025,3025
00010_1985-01-15,1985-01-15,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00010_1985-01-15\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00010_1985-01-15\imputed_correlation_matrix.csv,True,False,55,3025,3025
